
class	0	평민	평민1	평민2	평민3	평민4	평민5	평민6	평민7	평민8	평민9	평민10	평민11	평민12	평민13	평민14	평민15
class	1	전사	검객	검제	검황	검성	검신	전사6	전사7	전사8	전사9	전사10	전사11	전사12	전사13	전사14	전사15
class	2	도적	자객	진검	귀검	태성	패왕	도적6	도적7	도적8	도적9	도적10	도적11	도적12	도적13	도적14	도적15
class	3	주술사	술사	현사	현인	현자	마신	술사6	술사7	술사8	술사9	술사10	술사11	술사12	술사13	술사14	술사15
class	4	도사	도인	명인	진인	진선	신선	도사6	도사7	도사8	도사9	도사10	도사11	도사12	도사13	도사14	도사15
class	5	궁사	명궁	현궁	진탄	심안	신궁	궁사6	궁사7	궁사8	궁사9	궁사10	궁사11	궁사12	궁사13	궁사14	궁사15
;직업	레벨	경험치	hp	mp	might	grace	will	ac

0	0	0	
0	1	0
0	2	300	30	30	1	1	1	-1
0	3	600	30	30	0	0	0	-1
0	4	900	30	30	1	1	1	-1
0	5	1200	30	30	0	0	0	-1

1	5	1200
1	6	2400	60	30	1	1	1	-1
1	7	3600	60	30	1	0	0	-2
1	8	4800	60	30	1	0	1	-1
1	9	6000	60	30	1	1	0	-1
1	10	8400	60	30	1	0	1	-2
1	11	10800	60	30	1	0	0	-1
1	12	13200	60	30	1	1	1	-1
1	13	18000	60	30	1	0	0	-1
1	14	22800	60	30	1	0	1	-2
1	15	27600	60	30	1	1	0	-1
1	16	32400	60	30	1	0	1	-1
1	17	42000	60	30	1	0	0	-1
1	18	51600	60	30	1	1	1	-2
1	19	70800	60	30	1	0	0	-1
1	20	90000	60	30	1	0	1	-1
1	21	109200	60	30	1	1	0	-2
1	22	147600	60	30	1	0	1	-1
1	23	186000	60	30	1	0	0	-1
1	24	224400	60	30	1	1	1	-2
1	25	262800	60	30	1	0	0	-1
1	26	339600	60	30	1	0	1	-1
1	27	416400	60	30	1	1	0	-2
1	28	493200	60	30	1	0	1	-1
1	29	646800	60	30	1	0	0	-1
1	30	789400	60	30	1	1	1	-2
1	31	943000	60	30	1	0	0	-1
1	32	1168000	60	30	1	0	1	-1
1	33	1393000	60	30	1	1	0	-2
1	34	1618000	60	30	1	0	1	-1
1	35	1930600	60	30	1	0	0	-1
1	36	2314600	60	30	1	1	1	-2
