mission_id	3	quest_id	m_clear	desc
0100010100100	3	01000101001	0	도끼받기
0100010100200	3	01000101002	0	신령의 시험
0100010200100	3	01000102001	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200200	3	01000102002	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200300	3	01000102003	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200400	3	01000102004	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200500	3	01000102005	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200600	3	01000102006	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200700	3	01000102007	l/nakrangdone	낙랑의두루마리 퀘스트
0100010200800	3	01000102008	l/nakrangdone	낙랑의두루마리 퀘스트
0100010300000	3	01000103000	i/무쇠망치	0
0100010400100	3	01000104001	i/회복의샘물	0
0100010400200	3	01000104002	0	뢰진도 제작의뢰
0100010500001	3	01000105000	i/작약주	0
0100010500002	3	01000105000	i/신작약주	0
0100010600100	3	01000106001	0	한수찾기
0100010600201	3	01000106002	i/초왕	0
0100010600202	3	01000106002	i/한왕	0
0100010600300	3	01000106003	0	간수와 장기두기
0100010600400	3	01000106004	0	기선에게 용의골무 받기
0100010700100	3	01000107001	i/낡은상자	0
0100010700200	3	01000107002	0	낡은상자 열기
0100300100101	3	01003001001	0	백지지령서 얻기
0100300100201	3	01003001002	0	도전사냥
0100330100100	3	01003301001	i/여우모피/0/>29	0
0100330100100	3	01003301001	i/여우모피/0/>29	0
0100330100101	3	01003301001	l/weapon33/>1	구미호나 불구미호 봉인.
0100330100200	3	01003301002	i/묘피/0/>9	0
0100330100201	3	01003301002	i/인묘의발톱	0
0100400100100	3	01004001001	i/망원경	0
0100400100200	3	01004001002	i/북극점그림	0
0100560100001	3	01005601000	0	궁사-해골무기업그레이드
0100560100002	3	01005601000	0	궁사-해골무기업그레이드
0100560200000	3	01005602000	0	도사-해골무기업그레이드
0100560300000	3	01005603000	0	도적-해골무기업그레이드
0100560400000	3	01005604000	0	전사-해골무기업그레이드
0100560500000	3	01005605000	0	주술사-해골무기업그레이드
0100660100100	3	01006601001	k/흑령/0/>99	0
0100660100200	3	01006601002	i/은여우털	0
0100660100201	3	01006601002	i/너구리털	0
0100660100202	3	01006601002	i/원숭이털	0
0100700100100	3	01007001001	l/fool_ondal/>1	왕궁신하에게 평강공주에 대해 듣는다.
0100700100200	3	01007001002	l/fool_ondal/>2	왕궁에서 평강공주를 찾아라.
0100700100300	3	01007001003	l/fool_ondal/>3	성현을 찾아가 온달의 집을 아는지 묻는다.
0100700100400	3	01007001004	i/한지용닥나무/>9	0
0100700100501	3	01007001005	i/전통한지	0
0100700100502	3	01007001005	i/도깨비털붓	0
0100700100600	3	01007001006	l/fool_ondal/>5	왕궁신하에게 약도를 전달해라.
0100700100700	3	01007001007	l/fool_ondal/>6	온달의집으로가 온달의노모를 만나라.
0100700100800	3	01007001008	l/fool_ondal/>7	온달을 만나라.
0100700100901	3	01007001009	i/감자/>9	0
0100700100902	3	01007001009	i/고구마/>9	0
0100700100903	3	01007001009	i/당근/>9	0
0100700101000	3	01007001010	l/fool_ondal/>10	평강공주와 이야기한다.
0100700101100	3	01007001011	l/fool_ondal/>11	온달과 이야기한다.
0100700101200	3	01007001012	l/fool_ondal/>12	평강공주와 이야기한다.
0100700101300	3	01007001013	l/fool_ondal/>13	대련에서 패한 온달을 찾아간다.
0100700101400	3	01007001014	i/연갈호박	0
0100700101500	3	01007001015	l/fool_ondal/>15	온달과 이야기한다.
0100700101600	3	01007001016	l/fool_ondal_end	온달과 이야기한다.
0100750100000	3	01007501000	i/도깨비방망이/0/>2	0
0100750200000	3	01007502000	i/현랑부/0/>2	0
0100750300000	3	01007503000	i/백화검/0/>2	0
0100750400000	3	01007504000	i/백현모/0/>2	0
0100800000000	3	01008000000	0	석회 10개와 적,황,녹,흑,백,은,금색돌조각 중 한가지 10개 구하기.
0100900100000	3	01009001000	l/monkeymedalend	두목의증표
0100900200000	3	01009002000	i/깨끗한얼음	0
0100900300000	3	01009003000	l/monkeydrinkend	특제원숭이술 전하기
0100900400000	3	01009004000	i/호박/0/>79	0
0100900500000	3	01009005000	l/monkeymailend	편지전달
0100900600000	3	01009006000	l/monkeymbackend	원숭이편지
0100900700000	3	01009007000	l/monkeybabyend	아기원숭이 데려다주기
0100900800100	3	01009008001	0	참원왕과 대화
0100900800200	3	01009008002	l/monkeydustend	약만들기
0100900800300	3	01009008003	l/monkeyelixgoing	진원비전탕
0100900800400	3	01009008004	l/monkeybookend	책구하기
0100900800500	3	01009008005	l/monkeyelixend	진원비전탕을 만들자
0100900800600	3	01009008006	l/monkeyequiend	원숭이수련
0100900800700	3	01009008007	l/monkeyfireend	횃불구하기
0100900800800	3	01009008008	l/monkeygalend	원숭이왕에게 갈대 나눠주기
0100900800900	3	01009008009	l/monkeyfinished	다시 참원왕에게…
0100900900000	3	01009009000	l/monkeykusuriend	좌황활력환구하기
0100901000000	3	01009010000	l/monkeycoldend	아픈원숭이 데려다주기
0100990100100	3	01009901001	i/북극사슴가죽/0/>2	0
0100990100200	3	01009901002	i/독니	0
0100990100201	3	01009901002	i/염룡꼬리	0
0300050100100	3	03000501001	l/sesi_fruit/>1	백세인만나기.
0300050100200	3	03000501002	i/뱀꼬리/0/>0	0
0300050100201	3	03000501002	i/숲돼지고기/0/>0	0
0300050100202	3	03000501002	i/녹용/0/>0	0
0300050100203	3	03000501002	i/웅담/0/>0	0
0300050100300	3	03000501003	i/잘익은대추/0/>0	0
0300050100301	3	03000501003	i/잘익은밤/0/>0	0
0300050100302	3	03000501003	i/잘익은감/0/>0	0
0300050100303	3	03000501003	i/잘익은배/0/>0	0
0300050200100	3	03000502001	l/sesi_gama/>1	털보만나기.
0300050200200	3	03000502002	i/철괴/0/>1	0
0300050200300	3	03000502003	l/sesi_gama/>3	백세인에게 돌아가기.
0300050200400	3	03000502004	i/소나무판자/0/>3	0
0300050200401	3	03000502004	i/새끼줄/0/>1	0
0300050300100	3	03000503001	l/issu_jadan/>1	백몽연을 만나자.
0300050300200	3	03000503002	i/자단향뿌리/0/>4	0
0300050300300	3	03000503003	l/issu_jadan/>3	백남신에게 자단향 전하기.
0300050400100	3	03000504001	k/불쌍한원혼/0/>19	0
0300050400101	3	03000504001	k/측은한원혼/0/>19	0
0300200100100	3	03002001001	i/가신의증표/0/>2	0
0300200200100	3	03002002001	l/issu_2008exam/>1	호박엿전하기.
0300400100100	3	03004001001	i/토끼가죽/0/>2	0
0300400100101	3	03004001001	i/곰가죽/0/>1	0
0300400100102	3	03004001001	i/무명천/0/>3	0
0300400100103	3	03004001001	i/명주실/0/>2	0
0300400100104	3	03004001001	i/자주염료/0/>0	0
0300500100100	3	03005001001	i/진혼의물약/0/>4	0
0300500100101	3	03005001001	i/호박/0/>4	0
0400600100100	3	04006001001	l/innoru	소연지봉의 산예를 만나본다.
0400600100200	3	04006001002	i/점화석	0
0400600100300	3	04006001003	0	대연지봉의 애차를 만나다.
0400600100400	3	04006001004	0	애차로부터 이야기를 듣는다.
0400600100501	3	04006001005	i/백두목가지/0/>49	0
0400600100502	3	04006001005	i/백두목잎/0/>29	0
0400600100503	3	04006001005	i/백두목황금잎/0/>0	0
0400600100504	3	04006001005	i/신령철/0/>0	0
0400600100601	3	04006001006	0	삼지연공부자와 대화
0400600100602	3	04006001006	0	삼지연놀이자와 대화
0400600100700	3	04006001007	0	이식천부연무기를 만들어 달라고 말한다.
0400600100800	3	04006001008	l/dochulstart	도철에게 도시락을 배달한다.
0400600100900	3	04006001009	0	도철의 이야기를 듣는다.
0400600101000	3	04006001010	i/흑표범의가죽	0
0400600101100	3	04006001011	0	폐한을 찾는다.
0400600101200	3	04006001012	0	산예에게 가서 해독제에 대한 것을 물어본다.
0400600101301	3	04006001013	i/사향/0/>2	0
0400600101302	3	04006001013	i/만병초	0
0400600101400	3	04006001014	0	해독제를 폐한에게 전한다.
0400600101500	3	04006001015	0	가던 길을 마저 올라간다.
0400600101600	3	04006001016	0	천문봉의 포뢰를 찾는다.
0400600101700	3	04006001017	i/종이	0
0400600101800	3	04006001018	0	공하에게 자문을 구한다.
0400600101900	3	04006001019	i/기룡고	0
0400600102000	3	04006001020	0	포뢰의 이야기를 듣는다.
0400600102100	3	04006001021	i/요괴곰의가죽	0
0400600102200	3	04006001022	0	포뢰에게서 답례를 받는다.
0400600102300	3	04006001023	0	이문을 만난다
0400600102401	3	04006001024	i/올빼미의깃털/0/>99	0
0400600102402	3	04006001024	i/빗살발톱/0/>99	0
0400600102500	3	04006001025	0	비희에게 사실대로 말한다.
0400600102600	3	04006001026	0	비희를 만나러 간다.
0400600102700	3	04006001027	0	초도를 만나러 간다.
0400600102801	3	04006001028	i/대각봉의찰흙	0
0400600102802	3	04006001028	i/소연지봉의찰흙	0
0400600102803	3	04006001028	i/대연지봉의찰흙	0
0400600102804	3	04006001028	i/청석봉의찰흙	0
0400600102805	3	04006001028	i/백운봉의찰흙	0
0400600102806	3	04006001028	i/녹명봉의찰흙	0
0400600102807	3	04006001028	i/천문봉의찰흙	0
0400600102808	3	04006001028	i/망천후의찰흙	0
0400600102809	3	04006001028	i/백두봉의찰흙	0
0400600102900	3	04006001029	0	초도에게 거짓없이 말하자.
0400600103000	3	04006001030	0	비희를 찾아간다.
0400600103100	3	04006001031	0	전음석의 이야기를 듣는다.
0400600103200	3	04006001032	0	진천부연의 무기를 받는다.
0400600103300	3	04006001033	i/과일나라	0
0700400100100	3	07004001001	i/얼음/0/>19	0
0700400100200	3	07004001002	0	얼음이 굳을 때 까지 약 한시간만 기다리자.
0700400100301	3	07004001003	i/단단한숫돌	0
0700400100302	3	07004001003	i/잘깎인얼음조각/0/>9	0
0700400100400	3	07004001004	0	얼음조각상이 녹기 전에 북극마을에 있는 여인에게 전해주자.
0700400100500	3	07004001005	0	여인이 준 징표를 얼음사나이에게 전해주자.
0700400200100	3	07004002001	l/IceElement11	극지방의 곳곳을 조사해 원인을 찾아야 한다.
0700400200200	3	07004002002	l/IceElement12	극지방에서 얼음의 기운을 떨어뜨리는 자를 찾아야 한다.
0700400200301	3	07004002003	l/IceElement21	정령의 기운을 돋궈중 얼음을 찾아야 한다.
0700400200302	3	07004002003	l/IceElement22	극지방의 기운을 어지럽히는 자를 쫒아낸다.
0800400100101	3	08004001001	i/대지의혼/0/>11	0
0800400100102	3	08004001001	i/얇은종이/0/>11	0
0800400100200	3	08004001002	0	대지의 부적을 각 지신굴에서 사용해야 한다.
0800400100301	3	08004001003	i/회중시계	0
0800400100302	3	08004001003	l/mainstorySs01/>0	시간을 여행하고 온 자의 기운 획득
0800400100400	3	08004001004	0	시순도인을 찾아야 한다.
0800400100500	3	08004001005	0	고양이에게 시순도인의 말을 전하고 납득시켜야 한다.
0800400100600	3	08004001006	0	고양이와 대화해 보자.
0800400200101	3	08004002001	i/고운흙/0/>19	0
0800400200102	3	08004002001	i/가득찬물통	0
0800400200200	3	08004002002	0	각 돼지의 혼을 10개 이상씩 모아야 한다.
0800400300100	3	08004003001	i/치즈	0
0800400300200	3	08004003002	0	토끼왕굴의 묘량을 찾아라.
0800400300301	3	08004003003	i/감초	0
0800400300302	3	08004003003	i/녹용	0
0800400300303	3	08004003003	i/사향낭	0
0800400300400	3	08004003004	0	잘듣는수면제를 토끼왕굴의 묘량에게 전해주자.
0800400300500	3	08004003005	0	묘량이 깰 때까지 기다린다.
0800400300600	3	08004003006	0	닭왕굴의 유랑에게 묘량의 말을 전하자.
0800400300700	3	08004003007	i/올빼미의깃털/0/>19	0
0800400300800	3	08004003008	0	닭의 서신을 묘량에게 전해주자.
0800400300900	3	08004003009	0	뱀왕굴의 사랑을 찾아야 한다.
0800400301000	3	08004003010	0	쥐왕굴의 자랑에게 뱀의 고민을 전해준다.
0800400301100	3	08004003011	0	사랑에게 자랑의 해결책을 전해주자.
0800400301200	3	08004003012	0	돼지왕굴의 해랑을 찾아가자
0800400301300	3	08004003013	i/늑대고기/0/>19	0
0800400301400	3	08004003014	0	원숭이왕굴의 신랑을 찾아가자.
0800400301500	3	08004003015	0	쥐왕굴의 자랑에게 원숭이의 도전을 전하자.
0800400301600	3	08004003016	0	원숭이왕굴의 신랑에게 쌀떡과 쥐의 말을 전하자.
0800400301700	3	08004003017	0	구명곡의 술랑에게 신랑의 말을 전한다.
0800400301800	3	08004003018	0	원숭이왕굴의 신랑에게 술랑의 선물을 전하자.
0800400301900	3	08004003019	0	구명곡의 술랑에게 신랑의 말을 전한다.
0800400302000	3	08004003020	0	말왕굴의 오랑을 찾아가자.
0800400302100	3	08004003021	0	일반성의 대장장이에게 편자 제작을 의뢰하자.
0800400302200	3	08004003022	i/강철조각/0/>9	0
0800400302300	3	08004003023	0	말왕굴의 오랑에게 편자를 전해주자.
0800400302400	3	08004003024	0	양왕굴의 미랑을 찾아간다.
0800400302500	3	08004003025	i/강철조각	0
0800400302600	3	08004003026	a/양털빗겨주기/0/>49	양왕굴 내의 양들에게 양털참빗을 사용하여 털을 빗어주자.
0800400302700	3	08004003027	0	소왕굴의 축랑을 만나자.
0800400302800	3	08004003028	i/치즈	0
0800400302900	3	08004003029	0	쥐왕굴의 자랑에게 먹음직스러운치즈를 전한다.
0800400303000	3	08004003030	0	축랑에게 결과를 전해주자.
0800400303100	3	08004003031	0	인량을 찾아라.
0800400303200	3	08004003032	i/자명종	0
0800400303300	3	08004003033	0	진랑을 찾아가자.
0800400303401	3	08004003034	l/12Animals_rat	자랑에게 선물 전달.
0800400303402	3	08004003034	l/12Animals_cow	축랑에게 선물 전달.
0800400303403	3	08004003034	l/12Animals_tiger	인량에게 선물 전달.
0800400303404	3	08004003034	l/12Animals_rabbit	묘량에게 선물 전달.
0800400303405	3	08004003034	l/12Animals_snake	사랑에게 선물 전달.
0800400303406	3	08004003034	l/12Animals_horse	오랑에게 선물 전달.
